"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
1285,930,2202,1887,631,3377,4799,3770,1085,6621,3201,3471,1945,3467,661,1797,2094,779,1514,1669,5358,1218,5895,4011,1050,6621,8733,4899,5065,4892,291,553,532,2664,929,751,2001,2187,571,4220,5781,4548,926,6180,3590,3619,2024,4139,650,1690,1536,975,2079,1920,3922,1574,4974,4157,713,7691,8543,6097,4002,4151,308,523,411,2569
736,787,2105,1398,509,2778,3894,3482,1197,5482,2505,2426,1843,2961,599,1324,1587,693,1404,1187,4130,1285,5131,4072,833,6152,6562,5076,3836,3850,233,437,584,2226,792,770,1834,1574,430,2511,5224,4045,862,4588,2455,2817,1831,3197,509,1432,1412,754,1348,1488,4126,1036,5043,4234,555,6449,6803,4364,3447,3695,356,445,365,1982
1099,671,2601,1911,463,3789,4954,3251,1254,6182,3285,3485,1832,3435,725,1775,2333,928,1551,1872,4879,1325,5686,4460,848,6668,8520,6482,4986,4933,359,532,615,3062,1380,901,2139,2201,465,3678,6277,3238,1133,5928,3241,4064,2397,4048,859,1664,1669,1097,2368,2281,4227,1596,5047,4824,656,7217,7397,6475,4069,4667,316,387,417,2583
1426,688,2285,1701,351,3155,5659,3573,1434,6174,2820,3802,1956,3725,800,1319,1545,779,1509,1631,4446,1290,5476,4315,1177,6746,9194,5428,4616,4209,238,480,423,2483,1113,1028,2203,1951,423,3303,7142,3593,971,5784,2677,3674,1993,4104,722,1581,1323,809,1720,1783,3967,1372,4453,4294,1063,8112,7810,5934,4067,3394,273,494,350,2301
996,690,2024,1669,445,3163,4568,3777,1147,5218,2832,2946,1959,3336,626,1377,1780,690,1548,1334,4085,1698,5735,3787,859,5678,8138,6023,3866,3882,269,426,405,2367,1017,982,2157,1870,322,3187,5684,3408,1025,5408,2973,2850,1926,3677,664,1604,1301,849,1613,1493,3776,1449,5451,4279,744,5619,7950,5714,3884,3304,251,442,353,2388
1122,756,2528,1525,422,2925,5102,3255,1100,4329,2539,2777,1614,3777,611,1179,1744,610,1194,1328,4481,1330,4723,3960,878,5532,7627,5571,3639,4726,244,400,369,2691,1082,646,2442,1697,395,2916,6227,3131,931,4611,2762,2782,1981,3672,557,1508,1498,742,1346,1460,4010,1491,4800,3463,564,5710,7768,6007,3918,4203,330,432,329,2212
846,537,2789,1816,581,3870,5426,3854,1200,6190,2776,3913,1801,3184,673,1531,1713,701,1417,1856,4043,1240,5327,5073,880,7006,7693,6687,3598,4500,269,462,458,3034,1074,541,2279,2098,331,3401,5462,3290,875,6534,2524,3653,2157,3691,693,1884,1301,796,1531,2070,3957,914,5695,5065,659,6911,6912,6843,3845,4384,316,395,348,2773
1098,503,1766,1247,461,3135,4360,2959,1062,4394,3019,2834,2042,2984,725,1223,1890,813,1793,1091,3745,1166,4501,3907,831,5708,7250,4737,4055,4608,232,534,523,2427,1039,713,1997,1314,385,3078,5114,3058,812,5075,2756,2771,2095,3638,729,1572,1251,932,1700,1259,3922,997,5148,3634,585,5463,6952,4319,3899,4191,284,458,358,2742
1295,796,2983,1803,396,3583,5326,4345,1154,5547,2991,3580,2102,4206,753,1666,1620,825,1452,1481,4973,1718,5939,4297,1086,7183,9122,5863,4563,4978,287,475,421,2636,1190,983,2765,1793,523,3536,6209,3555,1024,5980,2850,3851,2137,4257,639,1798,1749,928,1468,1647,4558,1629,5568,4839,813,6529,8389,5981,4269,4605,319,464,400,2941
1166,657,2361,1529,530,3052,3886,3738,1018,5024,2831,2593,1741,3476,641,1327,1792,719,1373,1401,4622,1241,5854,4010,789,6100,7897,6164,4412,5600,252,492,478,2285,923,628,2209,1690,426,3177,6028,4059,924,4824,2770,2826,2150,3642,606,1607,1433,947,1885,1701,4403,1135,5198,3883,687,5966,8188,6521,3754,3969,285,506,365,2253
