ID,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_parahippocampal_thickavg,L_paracentral_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_frontalpole_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,L_insula_thickavg,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_parahippocampal_thickavg,R_paracentral_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_frontalpole_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,R_insula_thickavg,ACR.L,ACR.R,ALIC.L,ALIC.R,BCC,CGC.L,CGC.R,CGH.L,CGH.R,CP.L,CP.R,CST.L,CST.R,EC.L,EC.R,FX,FX.ST.L,FX.ST.R,GCC,ICP.L,ICP.R,IFO.L,IFO.R,ML.L,ML.R,PCR.L,PCR.R,PLIC.L,PLIC.R,PTR.L,PTR.R,RLIC.L,RLIC.R,SCC,SCP.L,SCP.R,SCR.L,SCR.R,SFO.L,SFO.R,SLF.L,SLF.R,SS.L,SS.R,UNC.L,UNC.R,Lthal,Rthal,Lcaud,Rcaud,Lput,Rput,Lpal,Rpal,Lhippo,Rhippo,Lamyg,Ramyg,Laccumb,Raccumb,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,CB68IPTOT,CB68EPTOT,TPOCS_TOT,ADHD_I_SUB,ADHD_HI_SUB,RBSALLT,SCQTOT
sub-0880002,2.903,3.094,3.05,2.206,3.656,3.109,2.999,2.92,2.639,2.648,2.951,2.33,2.363,3.117,3.143,2.855,3.006,3.414,2.963,1.975,2.475,2.851,2.931,2.867,2.95,2.815,3.193,2.712,3.15,3.027,3.078,3.869,2.945,3.464,3.141,2.563,3.007,2.287,3.318,3.06,3.049,3.171,2.743,2.723,2.679,2.466,2.751,3.111,3.029,2.816,3.236,2.844,3.212,2.055,2.274,2.59,2.873,2.846,2.808,2.83,3.26,2.56,3.202,2.996,2.767,3.848,2.519,3.385,0.523768,0.531352,0.624682,0.661754,0.798449,0.655747,0.622533,0.583886,0.63898,0.790274,0.817295,0.607515,0.606837,0.499365,0.525191,0.634017,0.620844,0.654235,0.786013,0.64075,0.604918,0.551953,0.608186,0.712527,0.714353,0.51126,0.535867,0.69411,0.756653,0.667915,0.672307,0.628038,0.662745,0.836893,0.712442,0.727899,0.510501,0.541281,0.533194,0.557442,0.530027,0.597327,0.570241,0.661607,0.542247,0.602017,0.0050978248,0.0048698226,0.0025440212,0.0024967072,0.0036624212,0.0036972673,0.001424726,0.0013341262,0.0025732408,0.002503101,0.0011134129,0.0010344497,0.0003696244,0.000375251,1285,930,2202,1887,631,3377,4799,3770,1085,6621,3201,3471,1945,3467,661,1797,2094,779,1514,1669,5358,1218,5895,4011,1050,6621,8733,4899,5065,4892,291,553,532,2664,929,751,2001,2187,571,4220,5781,4548,926,6180,3590,3619,2024,4139,650,1690,1536,975,2079,1920,3922,1574,4974,4157,713,7691,8543,6097,4002,4151,308,523,411,2569,4,5,1,5,0,8,1
sub-0880019,3.081,3.566,3.104,2.123,3.405,2.914,2.769,3.355,2.694,2.468,3.359,2.289,2.792,3.161,2.974,2.432,3.164,3.19,2.995,1.919,2.402,2.822,2.858,2.606,3.509,3.01,3.096,2.351,3.332,3.227,3.268,3.554,2.752,3.662,3.059,2.842,3.036,2.153,3.439,2.921,2.823,3.405,2.985,2.586,3.247,2.274,3.114,3.185,3.448,2.629,3.239,3.209,2.981,1.77,2.265,2.881,2.737,2.708,3.35,2.894,3.195,2.415,3.353,3.06,3.284,3.763,2.543,3.538,0.516524,0.523169,0.556857,0.640171,0.721553,0.562522,0.603521,0.562065,0.650132,0.744129,0.788255,0.572925,0.640394,0.464443,0.508907,0.476192,0.489764,0.631586,0.772369,0.586556,0.56903,0.495081,0.592775,0.615999,0.652134,0.51936,0.540917,0.661102,0.72157,0.689894,0.687409,0.616979,0.682324,0.846312,0.710364,0.694159,0.478559,0.523515,0.447063,0.544679,0.499636,0.584024,0.545261,0.623355,0.643894,0.681902,0.0045427533,0.0044235033,0.0022537075,0.0023204135,0.0031327302,0.0030430611,0.0010896626,0.0010098537,0.0024857886,0.0026176122,0.0008868315,0.0010021772,0.000350537,0.0003236694,736,787,2105,1398,509,2778,3894,3482,1197,5482,2505,2426,1843,2961,599,1324,1587,693,1404,1187,4130,1285,5131,4072,833,6152,6562,5076,3836,3850,233,437,584,2226,792,770,1834,1574,430,2511,5224,4045,862,4588,2455,2817,1831,3197,509,1432,1412,754,1348,1488,4126,1036,5043,4234,555,6449,6803,4364,3447,3695,356,445,365,1982,23,20,20,7,8,35,22
sub-0880023,3.04,2.771,3.026,1.921,3.303,3.09,2.792,3.143,2.437,2.401,2.966,2.21,2.615,3.21,3.11,2.959,2.986,3,3.084,1.956,2.455,3.022,2.891,2.642,2.9,2.67,3.119,2.437,3.076,2.943,2.736,4.067,2.508,3.144,2.988,2.681,2.799,1.95,2.999,3.034,2.89,3.06,2.4,2.532,2.791,2.203,2.493,3.275,2.792,2.824,3.082,2.924,2.884,1.932,2.254,2.563,2.954,2.535,3.099,2.558,3.204,2.324,2.927,2.836,2.631,4.085,2.68,3.451,0.525532,0.537828,0.652944,0.687241,0.791313,0.729568,0.639523,0.63915,0.710002,0.776951,0.833173,0.647169,0.644837,0.519884,0.573767,0.481771,0.589496,0.665458,0.805652,0.61371,0.637517,0.59526,0.631771,0.733415,0.728563,0.538391,0.535617,0.726194,0.801957,0.73605,0.674373,0.660127,0.712541,0.87341,0.748411,0.715412,0.54634,0.544147,0.649315,0.657996,0.54034,0.589889,0.628431,0.653126,0.726231,0.671137,0.0052581367,0.0055180864,0.0029925479,0.0029588507,0.0035839054,0.003561649,0.0013906498,0.0013255061,0.0026180027,0.0026610776,0.0011622717,0.001196469,0.0003493504,0.0003798592,1099,671,2601,1911,463,3789,4954,3251,1254,6182,3285,3485,1832,3435,725,1775,2333,928,1551,1872,4879,1325,5686,4460,848,6668,8520,6482,4986,4933,359,532,615,3062,1380,901,2139,2201,465,3678,6277,3238,1133,5928,3241,4064,2397,4048,859,1664,1669,1097,2368,2281,4227,1596,5047,4824,656,7217,7397,6475,4069,4667,316,387,417,2583,19,29,-11,9,4,14,8
sub-0880043,2.49,2.534,2.618,2.091,3.354,2.767,2.476,2.725,2.437,2.204,2.577,2.261,2.571,2.817,2.324,2.602,2.666,2.688,2.447,1.817,2.263,2.493,2.645,2.486,2.989,2.322,2.738,2.257,2.955,2.517,2.225,3.694,2.361,3.057,2.554,2.518,2.426,1.962,3.332,2.866,2.446,2.815,2.449,2.257,2.709,2.151,2.419,2.784,2.342,2.442,2.566,2.683,2.586,1.755,2.009,2.491,2.46,2.466,2.497,2.091,2.639,2.197,2.932,2.524,1.964,3.684,2.498,3.03,0.491102,0.479968,0.595061,0.623661,0.733094,0.686195,0.648643,0.604886,0.631997,0.743814,0.783251,0.57323,0.62119,0.514908,0.548662,0.610436,0.520647,0.635901,0.707733,0.607179,0.585097,0.619283,0.674542,0.642019,0.621357,0.500238,0.543878,0.662836,0.723613,0.6205,0.645561,0.590706,0.615435,0.838628,0.714814,0.725581,0.510078,0.578586,0.508557,0.542782,0.51392,0.571513,0.547368,0.626243,0.607028,0.690784,0.0045726003,0.0043898836,0.0025218263,0.0026052888,0.0035646864,0.0035060225,0.001405051,0.0013319163,0.0025215861,0.0025837326,0.0012832799,0.0014106352,0.0004421107,0.0003840473,1426,688,2285,1701,351,3155,5659,3573,1434,6174,2820,3802,1956,3725,800,1319,1545,779,1509,1631,4446,1290,5476,4315,1177,6746,9194,5428,4616,4209,238,480,423,2483,1113,1028,2203,1951,423,3303,7142,3593,971,5784,2677,3674,1993,4104,722,1581,1323,809,1720,1783,3967,1372,4453,4294,1063,8112,7810,5934,4067,3394,273,494,350,2301,23,5,31,4,4,25,4
sub-0880049,2.736,2.973,2.555,1.909,3.198,2.82,2.62,2.782,2.43,2.303,2.568,2.084,2.408,2.738,3.152,2.614,2.685,2.418,2.564,1.493,2.311,2.538,2.673,2.566,2.916,2.227,2.657,2.454,2.861,2.644,2.567,3.637,2.752,3.207,2.776,2.683,2.471,2.03,3.655,2.798,2.643,2.933,2.481,2.296,2.562,2.108,2.444,2.926,2.85,2.795,2.669,2.772,2.585,1.672,2.287,2.677,2.594,2.632,2.871,2.313,2.631,2.41,2.957,2.699,2.903,3.643,2.467,3.054,0.503196,0.476046,0.617573,0.632563,0.781103,0.776395,0.726586,0.622725,0.635214,0.768038,0.824158,0.618348,0.645807,0.517986,0.549145,0.597024,0.592905,0.653453,0.750803,0.611567,0.606665,0.64055,0.681763,0.701633,0.698058,0.484233,0.533102,0.665549,0.711742,0.652955,0.668251,0.575897,0.6254,0.81024,0.743015,0.752595,0.500927,0.530592,0.539113,0.606456,0.531847,0.566719,0.578983,0.625687,0.650683,0.629944,0.0053445782,0.0053460703,0.0024554802,0.0025484446,0.0038763502,0.0039128742,0.0015130559,0.0014202861,0.0027095916,0.0027679133,0.0011144053,0.0011334782,0.000468974,0.000430374,996,690,2024,1669,445,3163,4568,3777,1147,5218,2832,2946,1959,3336,626,1377,1780,690,1548,1334,4085,1698,5735,3787,859,5678,8138,6023,3866,3882,269,426,405,2367,1017,982,2157,1870,322,3187,5684,3408,1025,5408,2973,2850,1926,3677,664,1604,1301,849,1613,1493,3776,1449,5451,4279,744,5619,7950,5714,3884,3304,251,442,353,2388,21,7,20,0,0,38,4
sub-0880050,3.36,2.731,3.254,2.29,2.772,3.243,3.208,3.317,2.453,2.79,3.363,2.621,2.696,3.274,3.442,2.992,3.289,3.304,2.986,2.179,2.594,2.722,3.101,2.963,3.472,2.928,3.349,2.753,3.339,3.298,3.821,3.089,3.094,3.366,3.169,2.51,3.208,2.314,3.477,3.425,3.231,3.405,2.692,2.867,3.06,2.546,3.023,3.585,3.086,2.986,3.272,3.591,3.184,1.812,2.356,2.779,3.133,2.839,3.258,2.894,3.383,2.553,3.349,3.161,3.425,3.61,3.05,3.616,0.495158,0.496832,0.615537,0.672824,0.758494,0.679361,0.622746,0.503928,0.59148,0.781125,0.818506,0.581877,0.630755,0.476768,0.532708,0.566538,0.629206,0.690435,0.764703,0.566325,0.588647,0.579162,0.666719,0.65546,0.647294,0.472337,0.503647,0.681108,0.77169,0.66017,0.630302,0.579467,0.652645,0.833094,0.722507,0.710124,0.473584,0.531166,0.59102,0.616156,0.503203,0.568464,0.528132,0.583039,0.622314,0.571837,0.0046772966,0.0047114173,0.002074147,0.0022091207,0.0034804462,0.0033608924,0.0011221785,0.0010344488,0.0024213255,0.0024643045,0.0009574803,0.0009740157,0.0003153543,0.0003948819,1122,756,2528,1525,422,2925,5102,3255,1100,4329,2539,2777,1614,3777,611,1179,1744,610,1194,1328,4481,1330,4723,3960,878,5532,7627,5571,3639,4726,244,400,369,2691,1082,646,2442,1697,395,2916,6227,3131,931,4611,2762,2782,1981,3672,557,1508,1498,742,1346,1460,4010,1491,4800,3463,564,5710,7768,6007,3918,4203,330,432,329,2212,37,29,41,1,4,52,7
sub-0880061,2.578,3.182,2.833,2.064,3.377,2.93,2.749,2.782,2.886,2.452,2.926,2.303,2.503,3.04,2.729,2.692,2.869,3.011,2.727,1.778,2.346,2.581,2.92,2.703,3.069,2.712,3.02,2.56,3.005,2.798,2.925,3.553,2.634,3.187,2.902,3.154,2.891,2.146,3.346,2.758,2.859,2.895,3.189,2.561,2.727,2.365,2.508,3.005,2.779,2.774,3.045,2.776,2.629,1.64,2.27,2.868,2.754,2.757,3.069,2.509,3.063,2.459,3.125,2.841,2.839,3.176,2.773,3.234,0.542985,0.505887,0.630036,0.648697,0.795536,0.699416,0.664489,0.579011,0.672245,0.738033,0.801719,0.592171,0.616323,0.510653,0.535839,0.392543,0.564618,0.6582,0.771509,0.596163,0.573832,0.524363,0.597111,0.663425,0.635619,0.538344,0.593218,0.664079,0.764393,0.732095,0.733247,0.625275,0.730166,0.874804,0.701752,0.698818,0.539522,0.610528,0.532281,0.631365,0.546368,0.625625,0.578892,0.668035,0.597636,0.674166,0.0055934647,0.0053047572,0.0027771717,0.002875163,0.003570318,0.0035051159,0.0012875539,0.0012478057,0.0024114129,0.0023525429,0.0009741448,0.0011320719,0.0004510859,0.0004471361,846,537,2789,1816,581,3870,5426,3854,1200,6190,2776,3913,1801,3184,673,1531,1713,701,1417,1856,4043,1240,5327,5073,880,7006,7693,6687,3598,4500,269,462,458,3034,1074,541,2279,2098,331,3401,5462,3290,875,6534,2524,3653,2157,3691,693,1884,1301,796,1531,2070,3957,914,5695,5065,659,6911,6912,6843,3845,4384,316,395,348,2773,1,2,-62,8,5,0,0
sub-0880062,3.13,2.962,2.852,2.339,4.26,3.261,2.794,3.109,2.307,2.543,3.003,2.483,2.852,3.38,3.276,3.126,3.115,3.306,2.697,1.989,2.477,2.763,2.941,2.689,3.27,2.782,3.369,2.569,3.193,2.922,2.86,3.736,2.943,3.687,3.236,2.983,3.042,2.172,4.03,3.251,2.943,3.29,2.619,2.642,3.231,2.6,2.927,3.438,3.061,2.88,3.18,3.265,3.053,1.892,2.49,2.943,2.995,2.854,2.931,2.823,3.298,2.522,3.35,3.003,2.723,4.219,3.371,3.537,0.522281,0.533738,0.613608,0.643602,0.76792,0.649887,0.589423,0.593577,0.656657,0.80423,0.838132,0.611231,0.670746,0.511799,0.5381,0.656463,0.622656,0.696118,0.768279,0.608187,0.620882,0.541034,0.652326,0.694652,0.686762,0.546802,0.577568,0.721614,0.776182,0.71401,0.679779,0.683484,0.708893,0.840963,0.717406,0.702414,0.519363,0.574758,0.551117,0.658531,0.544656,0.592712,0.590755,0.645353,0.552045,0.605142,0.0055871878,0.0056335362,0.0025611269,0.0027160565,0.0043283117,0.0043063343,0.0014972909,0.0014360008,0.0031210787,0.0032686101,0.0011333947,0.0012789677,0.0004411434,0.0004842278,1098,503,1766,1247,461,3135,4360,2959,1062,4394,3019,2834,2042,2984,725,1223,1890,813,1793,1091,3745,1166,4501,3907,831,5708,7250,4737,4055,4608,232,534,523,2427,1039,713,1997,1314,385,3078,5114,3058,812,5075,2756,2771,2095,3638,729,1572,1251,932,1700,1259,3922,997,5148,3634,585,5463,6952,4319,3899,4191,284,458,358,2742,20,38,-38,8,9,19,5
sub-0880079,3.19,2.935,3.19,2.487,3.733,3.076,2.997,3.084,2.543,2.6,3.201,2.573,2.903,3.364,2.948,3.015,3.257,3.32,3.105,2.402,2.637,2.74,3.169,2.957,2.979,2.961,3.39,2.639,3.165,3.05,2.62,3.843,2.819,3.502,3.711,3.117,3.252,2.175,3.634,3.164,3.075,3.209,2.511,2.781,3.055,2.546,2.747,3.527,3.377,3.161,3.043,2.965,3.073,2.215,2.45,2.918,2.996,2.955,3.03,2.654,3.303,2.624,3.335,3.084,2.678,3.968,3,3.335,0.547817,0.535886,0.614826,0.648364,0.769254,0.691382,0.675909,0.616755,0.687864,0.761569,0.805189,0.593301,0.605074,0.526718,0.563832,0.609758,0.59873,0.667787,0.780716,0.608605,0.590917,0.639763,0.652619,0.658363,0.668104,0.532047,0.540904,0.699921,0.750091,0.68651,0.613383,0.676174,0.687696,0.838082,0.730639,0.747804,0.533357,0.592604,0.559288,0.638016,0.567657,0.61179,0.569746,0.621558,0.592925,0.628151,0.0046995657,0.0046493157,0.0023590715,0.0024516534,0.0038328288,0.0037008996,0.0012187308,0.0010927707,0.0024712661,0.0027033908,0.0012765335,0.0011991789,0.000374713,0.000424963,1295,796,2983,1803,396,3583,5326,4345,1154,5547,2991,3580,2102,4206,753,1666,1620,825,1452,1481,4973,1718,5939,4297,1086,7183,9122,5863,4563,4978,287,475,421,2636,1190,983,2765,1793,523,3536,6209,3555,1024,5980,2850,3851,2137,4257,639,1798,1749,928,1468,1647,4558,1629,5568,4839,813,6529,8389,5981,4269,4605,319,464,400,2941,26,22,-3,9,9,14,15
sub-0880081,2.84,3.314,2.753,2.195,3.302,3.057,2.763,2.9,2.598,2.476,3.059,2.331,2.964,3.141,3.061,3.009,2.972,3.088,2.767,2.071,2.367,3.086,2.863,2.934,3.499,2.581,3.134,2.508,3.315,2.923,2.594,3.866,2.976,3.434,2.957,2.669,2.787,2.269,3.303,3.181,2.839,3.017,2.751,2.451,3.184,2.517,2.792,3.105,3.246,2.972,2.977,3.038,2.852,1.903,2.413,2.903,2.769,2.875,3.315,2.511,2.948,2.584,3.359,3.001,2.645,3.835,2.585,3.514,0.517625,0.501102,0.648906,0.665658,0.779958,0.740637,0.67241,0.552987,0.625171,0.756612,0.786348,0.584832,0.638336,0.501709,0.53711,0.623546,0.590276,0.673149,0.789808,0.563722,0.566307,0.535568,0.618139,0.622734,0.636997,0.520749,0.534011,0.683283,0.741086,0.681385,0.70063,0.650735,0.674037,0.845204,0.692551,0.722971,0.497241,0.539225,0.591066,0.605397,0.54939,0.612942,0.567473,0.636331,0.621544,0.634595,0.0054429312,0.0052956389,0.002316271,0.0025400908,0.0038171635,0.0037671993,0.0011978047,0.0012034968,0.0027277902,0.0029558263,0.0010771458,0.0012152324,0.0004609914,0.0004708999,1166,657,2361,1529,530,3052,3886,3738,1018,5024,2831,2593,1741,3476,641,1327,1792,719,1373,1401,4622,1241,5854,4010,789,6100,7897,6164,4412,5600,252,492,478,2285,923,628,2209,1690,426,3177,6028,4059,924,4824,2770,2826,2150,3642,606,1607,1433,947,1885,1701,4403,1135,5198,3883,687,5966,8188,6521,3754,3969,285,506,365,2253,9,13,8,5,4,14,9
