"","Rank","Measure","NMI","statistic","p.fdr","Etasq"
"97",1,"R_parstriangularis_thickavg",0.182,0.685,"n.s     ",0.0098
"86",2,"R_insula_thickavg",0.182,1.35,"n.s     ",0.018
"4",3,"ADHD_I_SUB",0.181,7.68,"0.0238  ",0.099
"92",4,"R_middletemporal_thickavg",0.18,0.687,"n.s     ",0.0097
"59",5,"L_supramarginal_thickavg",0.172,1.61,"n.s     ",0.022
"85",6,"R_inferiortemporal_thickavg",0.169,1.7,"n.s     ",0.024
"43",7,"L_middletemporal_thickavg",0.165,2.34,"n.s     ",0.033
"105",8,"R_superiorfrontal_thickavg",0.165,0.503,"n.s     ",0.0072
"55",9,"L_rostralmiddlefrontal_thickavg",0.162,1.39,"n.s     ",0.019
"37",10,"L_insula_thickavg",0.161,1.91,"n.s     ",0.025
"34",11,"L_fusiform_thickavg",0.159,3.56,"n.s     ",0.049
"46",12,"L_parsopercularis_thickavg",0.158,1.35,"n.s     ",0.02
"84",13,"R_inferiorparietal_thickavg",0.158,2.22,"n.s     ",0.029
"104",14,"R_rostralmiddlefrontal_thickavg",0.157,1.07,"n.s     ",0.016
"35",15,"L_inferiorparietal_thickavg",0.157,1.89,"n.s     ",0.025
"36",16,"L_inferiortemporal_thickavg",0.153,1.65,"n.s     ",0.024
"101",17,"R_precentral_thickavg",0.149,0.327,"n.s     ",0.0047
"40",18,"L_lateralorbitofrontal_thickavg",0.148,1.17,"n.s     ",0.016
"39",19,"L_lateraloccipital_thickavg",0.148,2.48,"n.s     ",0.033
"41",20,"L_lingual_thickavg",0.145,1.93,"n.s     ",0.024
"108",21,"R_supramarginal_thickavg",0.145,1.12,"n.s     ",0.015
"48",22,"L_parstriangularis_thickavg",0.137,0.402,"n.s     ",0.0058
"83",23,"R_fusiform_thickavg",0.136,1.27,"n.s     ",0.018
"89",24,"R_lateralorbitofrontal_thickavg",0.134,0.835,"n.s     ",0.012
"50",25,"L_postcentral_thickavg",0.134,3.9,"n.s     ",0.053
"3",26,"ADHD_HI_SUB",0.132,4.48,"n.s     ",0.061
"88",27,"R_lateraloccipital_thickavg",0.132,3.67,"n.s     ",0.048
"56",28,"L_superiorfrontal_thickavg",0.131,0.728,"n.s     ",0.01
"91",29,"R_medialorbitofrontal_thickavg",0.127,0.405,"n.s     ",0.0055
"49",30,"L_pericalcarine_thickavg",0.126,0.531,"n.s     ",0.0073
"30",31,"L_caudalmiddlefrontal_thickavg",0.123,0.62,"n.s     ",0.0093
"79",32,"R_caudalmiddlefrontal_thickavg",0.119,0.173,"n.s     ",0.0026
"99",33,"R_postcentral_thickavg",0.118,4.81,"n.s     ",0.067
"47",34,"L_parsorbitalis_thickavg",0.115,1.23,"n.s     ",0.018
"118",35,"Rpal",0.115,0.248,"n.s     ",0.0037
"52",36,"L_precentral_thickavg",0.114,2.41,"n.s     ",0.035
"58",37,"L_superiortemporal_thickavg",0.112,1.8,"n.s     ",0.026
