"","Rank","Measure","NMI","statistic","p.value","p.fdr","Etasq"
"97",1,"R_parstriangularis_thickavg",0.182,0.552,"n.s","NULL",0.0087
"86",2,"R_insula_thickavg",0.182,1.25,"n.s","NULL",0.018
"4",3,"ADHD_I_SUB",0.181,0.945,"n.s","NULL",0.016
"92",4,"R_middletemporal_thickavg",0.18,1.75,"n.s","NULL",0.024
"59",5,"L_supramarginal_thickavg",0.172,0.416,"n.s","NULL",0.0061
"85",6,"R_inferiortemporal_thickavg",0.169,1.02,"n.s","NULL",0.017
"43",7,"L_middletemporal_thickavg",0.165,4.9,"0.00296","NULL",0.06
"105",8,"R_superiorfrontal_thickavg",0.165,1.1,"n.s","NULL",0.017
"55",9,"L_rostralmiddlefrontal_thickavg",0.162,1.25,"n.s","NULL",0.018
"37",10,"L_insula_thickavg",0.161,2.1,"n.s","NULL",0.03
"34",11,"L_fusiform_thickavg",0.159,0.902,"n.s","NULL",0.014
"46",12,"L_parsopercularis_thickavg",0.158,0.127,"n.s","NULL",0.002
"84",13,"R_inferiorparietal_thickavg",0.158,2.62,"n.s","NULL",0.038
"104",14,"R_rostralmiddlefrontal_thickavg",0.157,1.01,"n.s","NULL",0.017
"35",15,"L_inferiorparietal_thickavg",0.157,1.51,"n.s","NULL",0.022
"36",16,"L_inferiortemporal_thickavg",0.153,0.869,"n.s","NULL",0.013
"101",17,"R_precentral_thickavg",0.149,0.65,"n.s","NULL",0.011
"40",18,"L_lateralorbitofrontal_thickavg",0.148,1.82,"n.s","NULL",0.028
"39",19,"L_lateraloccipital_thickavg",0.148,0.466,"n.s","NULL",0.0079
"41",20,"L_lingual_thickavg",0.145,0.543,"n.s","NULL",0.0097
"108",21,"R_supramarginal_thickavg",0.145,1.51,"n.s","NULL",0.024
"48",22,"L_parstriangularis_thickavg",0.137,0.374,"n.s","NULL",0.0061
"83",23,"R_fusiform_thickavg",0.136,0.816,"n.s","NULL",0.013
"89",24,"R_lateralorbitofrontal_thickavg",0.134,1.12,"n.s","NULL",0.019
"50",25,"L_postcentral_thickavg",0.134,0.0503,"n.s","NULL",0.00087
"3",26,"ADHD_HI_SUB",0.132,0.842,"n.s","NULL",0.016
