"","Rank","Measure","NMI","statistic","p.value","p.fdr","Etasq"
"97",1,"R_parstriangularis_thickavg",0.182,0.16,"n.s","NULL",0.0024
"86",2,"R_insula_thickavg",0.182,0.5,"n.s","NULL",0.0068
"4",3,"ADHD_I_SUB",0.181,1.24,"n.s","NULL",0.019
"92",4,"R_middletemporal_thickavg",0.18,0.173,"n.s","NULL",0.0025
"59",5,"L_supramarginal_thickavg",0.172,0.664,"n.s","NULL",0.0098
"85",6,"R_inferiortemporal_thickavg",0.169,0.182,"n.s","NULL",0.0031
"43",7,"L_middletemporal_thickavg",0.165,0.359,"n.s","NULL",0.0051
"105",8,"R_superiorfrontal_thickavg",0.165,0.117,"n.s","NULL",0.0018
"55",9,"L_rostralmiddlefrontal_thickavg",0.162,0.171,"n.s","NULL",0.0024
"37",10,"L_insula_thickavg",0.161,0.209,"n.s","NULL",0.003
"34",11,"L_fusiform_thickavg",0.159,0.608,"n.s","NULL",0.0096
"46",12,"L_parsopercularis_thickavg",0.158,0.493,"n.s","NULL",0.0073
"84",13,"R_inferiorparietal_thickavg",0.158,0.453,"n.s","NULL",0.0069
"104",14,"R_rostralmiddlefrontal_thickavg",0.157,0.0514,"n.s","NULL",0.00083
"35",15,"L_inferiorparietal_thickavg",0.157,0.201,"n.s","NULL",0.003
"36",16,"L_inferiortemporal_thickavg",0.153,0.188,"n.s","NULL",0.0029
"101",17,"R_precentral_thickavg",0.149,0.407,"n.s","NULL",0.007
"40",18,"L_lateralorbitofrontal_thickavg",0.148,0.244,"n.s","NULL",0.0038
"39",19,"L_lateraloccipital_thickavg",0.148,1.45,"n.s","NULL",0.024
"41",20,"L_lingual_thickavg",0.145,0.414,"n.s","NULL",0.0072
"108",21,"R_supramarginal_thickavg",0.145,1.06,"n.s","NULL",0.017
"48",22,"L_parstriangularis_thickavg",0.137,0.767,"n.s","NULL",0.012
"83",23,"R_fusiform_thickavg",0.136,0.69,"n.s","NULL",0.011
"89",24,"R_lateralorbitofrontal_thickavg",0.134,0.12,"n.s","NULL",0.002
"50",25,"L_postcentral_thickavg",0.134,0.453,"n.s","NULL",0.0076
"3",26,"ADHD_HI_SUB",0.132,0.314,"n.s","NULL",0.0057
"88",27,"R_lateraloccipital_thickavg",0.132,0.406,"n.s","NULL",0.0064
"56",28,"L_superiorfrontal_thickavg",0.131,0.359,"n.s","NULL",0.0061
"91",29,"R_medialorbitofrontal_thickavg",0.127,0.0755,"n.s","NULL",0.0013
"49",30,"L_pericalcarine_thickavg",0.126,0.585,"n.s","NULL",0.011
"30",31,"L_caudalmiddlefrontal_thickavg",0.123,0.353,"n.s","NULL",0.0054
"79",32,"R_caudalmiddlefrontal_thickavg",0.119,0.661,"n.s","NULL",0.01
"99",33,"R_postcentral_thickavg",0.118,1.14,"n.s","NULL",0.02
"47",34,"L_parsorbitalis_thickavg",0.115,0.232,"n.s","NULL",0.0039
"118",35,"Rpal",0.115,0.147,"n.s","NULL",0.0029
"52",36,"L_precentral_thickavg",0.114,0.802,"n.s","NULL",0.013
"58",37,"L_superiortemporal_thickavg",0.112,1.69,"n.s","NULL",0.031
"28",38,"L_bankssts_thickavg",0.111,0.317,"n.s","NULL",0.0052
"53",39,"L_precuneus_thickavg",0.111,0.397,"n.s","NULL",0.0068
"124",40,"SCQTOT",0.107,2.91,"0.0372","NULL",0.046
"119",41,"Rput",0.106,0.521,"n.s","NULL",0.0098
"42",42,"L_medialorbitofrontal_thickavg",0.104,0.579,"n.s","NULL",0.0096
