"","Measure","term","sumsq","statistic","p.value","p.fdr","etasq"
"1","L_middletemporal_surfavg","clin_diagnosis",576945.53582596,1.93,0.149,0.482974158438944,"0.0248748314689843"
"2","R_middletemporal_surfavg","clin_diagnosis",595595.303595774,1.9,0.154,0.482974158438944,"0.0249384661173423"
"3","R_inferiortemporal_surfavg","clin_diagnosis",722694.472138576,1.65,0.196,0.482974158438944,"0.0212929748512857"
"4","R_parstriangularis_surfavg","clin_diagnosis",199490.641060208,1.65,0.197,0.482974158438944,"0.0224570419302253"
"5","L_supramarginal_surfavg","clin_diagnosis",1428937.95933229,1.44,0.241,0.482974158438944,"0.0189090280303072"
"6","L_rostralmiddlefrontal_surfavg","clin_diagnosis",1133741.93098441,0.952,0.389,0.64767582763884,"0.0123091172731186"
"7","R_insula_surfavg","clin_diagnosis",67238.0699030645,0.347,0.708,0.912574344756268,"0.00506504372537202"
"8","L_fusiform_surfavg","clin_diagnosis",78654.7722819187,0.299,0.742,0.912574344756268,"0.00422670788056037"
"9","R_superiorfrontal_surfavg","clin_diagnosis",318959.714267477,0.197,0.821,0.912574344756268,"0.00268154306683363"
"10","L_insula_surfavg","clin_diagnosis",15398.1340812147,0.0879,0.916,0.915895832937415,"0.00118050857608031"
