"","Measure","term","sumsq","statistic","p.value","p.fdr","etasq"
"1","L_insula_surfavg","group",909421.299753375,3.73,0.0131,0.130653061023039,"0.0741454530235619"
"2","L_rostralmiddlefrontal_surfavg","group",3289754.63446084,1.88,0.136,0.499451274311475,"0.037304686059788"
"3","R_middletemporal_surfavg","group",790116.813253988,1.68,0.174,0.499451274311475,"0.0337428765282422"
"4","R_superiorfrontal_surfavg","group",3266457.83555707,1.37,0.254,0.499451274311475,"0.0288049909137645"
"5","L_supramarginal_surfavg","group",1950087.68884198,1.31,0.275,0.499451274311475,"0.0267000399608213"
"6","R_parstriangularis_surfavg","group",225417.173058273,1.24,0.3,0.499451274311475,"0.0262937237168244"
"7","R_inferiortemporal_surfavg","group",579448.018129457,0.87,0.458,0.653883953776249,"0.0175811671330475"
"8","R_insula_surfavg","group",217892.950014377,0.752,0.523,0.653883953776249,"0.0166200968812627"
"9","L_fusiform_surfavg","group",252239.256604753,0.642,0.59,0.655167963021777,"0.0139319001258612"
"10","L_middletemporal_surfavg","group",231357.447428379,0.504,0.68,0.680196480520135,"0.0103029613812754"
