adhd	asd	ocd	Threshold
0.619841967	0.760755048	0.712028095	0.33
0.607989464	0.744951712	0.7023705	0.34
0.58999122	0.725636523	0.687884109	0.35
0.577260755	0.704565408	0.677787533	0.36
0.562335382	0.683055312	0.665496049	0.37
0.545654083	0.665057068	0.649692713	0.38
0.525899912	0.6404741	0.63476734	0.39
0.503950834	0.62071993	0.624670764	0.4
0.487269535	0.603599649	0.611062335	0.41
0.47190518	0.584723442	0.602282704	0.42
0.45215101	0.566286216	0.588674276	0.43
0.436786655	0.550043898	0.579894644	0.44
0.425373134	0.530289728	0.567164179	0.45
0.41000878	0.50834065	0.551799824	0.46
0.393766462	0.492098332	0.536874451	0.47
0.373134328	0.467515364	0.524143986	0.48
0.358208955	0.446005268	0.510974539	0.49
0.339332748	0.422739245	0.496927129	0.5
0.322651449	0.402107112	0.480684811	0.51
0.308165057	0.377085162	0.469271291	0.52
0.295434592	0.360403863	0.451712028	0.53
0.278314311	0.34547849	0.439859526	0.54
0.267778753	0.32572432	0.424934153	0.55
0.441443677	0.544680689	0.573519869	Average
