G1,G2,G3,G4,Threshold
0.56453029,0.365671642,0.679982441,0.541703248,0.33
0.552677788,0.346356453,0.661984197,0.521071115,0.34
0.539069359,0.329236172,0.647936787,0.5,0.35
0.526777875,0.314310799,0.633450395,0.482001756,0.36
0.515364355,0.292800702,0.61808604,0.46356453,0.37
0.499122037,0.280509219,0.60667252,0.44381036,0.38
0.488147498,0.264266901,0.586918349,0.420105356,0.39
0.475417032,0.251097454,0.568920105,0.401229148,0.4
0.466637401,0.237928007,0.553555751,0.383230904,0.41
0.451712028,0.226075505,0.532923617,0.367427568,0.42
0.4381036,0.210272169,0.516242318,0.356892011,0.43
0.424934153,0.195785777,0.498244074,0.335381914,0.44
0.413081651,0.186567164,0.479806848,0.314749781,0.45
0.400790167,0.175592625,0.46356453,0.300263389,0.46
0.388059701,0.166374012,0.44381036,0.279631255,0.47
0.376646181,0.153204565,0.424934153,0.265583845,0.48
0.364793679,0.143107989,0.406496927,0.253292362,0.49
0.353380158,0.133889377,0.389376646,0.236172081,0.5
0.342405619,0.122475856,0.374012291,0.222124671,0.51
0.330992098,0.111940299,0.359964881,0.205882353,0.52
0.31738367,0.100965759,0.343722564,0.193590869,0.53
0.301141352,0.091308165,0.330553117,0.178226514,0.54
0.288410887,0.080772608,0.313432836,0.165496049,0.55
