"","byClass.Sensitivity","byClass.Specificity","byClass.Pos.Pred.Value","byClass.Neg.Pred.Value","byClass.Precision","byClass.Recall","byClass.F1","byClass.Prevalence","byClass.Detection.Rate","byClass.Detection.Prevalence","byClass.Balanced.Accuracy"
"1",0,0,0,0,0,0,0,0,0,0,0
"Class: 1",0.4,0.923076923076923,0.666666666666667,0.8,0.666666666666667,0.4,0.5,0.277777777777778,0.111111111111111,0.166666666666667,0.661538461538462
"Class: 2",1,0.724137931034483,0.466666666666667,1,0.466666666666667,1,0.636363636363636,0.194444444444444,0.194444444444444,0.416666666666667,0.862068965517241
"Class: 3",0.545454545454545,0.96,0.857142857142857,0.827586206896552,0.857142857142857,0.545454545454545,0.666666666666667,0.305555555555556,0.166666666666667,0.194444444444444,0.752727272727273
"Class: 4",0.75,0.928571428571429,0.75,0.928571428571428,0.75,0.75,0.75,0.222222222222222,0.166666666666667,0.222222222222222,0.839285714285714
"Class: 11",0.5,1,1,0.875,1,0.5,0.666666666666667,0.222222222222222,0.111111111111111,0.111111111111111,0.75
"Class: 21",0.909090909090909,0.76,0.625,0.95,0.625,0.909090909090909,0.740740740740741,0.305555555555556,0.277777777777778,0.444444444444444,0.834545454545454
"Class: 31",0.636363636363636,0.92,0.777777777777778,0.851851851851852,0.777777777777778,0.636363636363636,0.7,0.305555555555556,0.194444444444444,0.25,0.778181818181818
"Class: 41",0.5,0.866666666666667,0.428571428571429,0.896551724137931,0.428571428571429,0.5,0.461538461538462,0.166666666666667,0.0833333333333333,0.194444444444444,0.683333333333333
"Class: 12",1,0.935483870967742,0.714285714285714,1,0.714285714285714,1,0.833333333333333,0.138888888888889,0.138888888888889,0.194444444444444,0.967741935483871
"Class: 22",0.875,0.95,0.933333333333333,0.904761904761905,0.933333333333333,0.875,0.903225806451613,0.444444444444444,0.388888888888889,0.416666666666667,0.9125
