"","byClass.Sensitivity","byClass.Specificity","byClass.Pos.Pred.Value","byClass.Neg.Pred.Value","byClass.Precision","byClass.Recall","byClass.F1","byClass.Prevalence","byClass.Detection.Rate","byClass.Detection.Prevalence","byClass.Balanced.Accuracy"
"1",0,0,0,0,0,0,0,0,0,0,0
"Class: 1",0.4,1,1,0.8125,1,0.4,0.571428571428572,0.277777777777778,0.111111111111111,0.111111111111111,0.7
"Class: 2",0.714285714285714,0.689655172413793,0.357142857142857,0.909090909090909,0.357142857142857,0.714285714285714,0.476190476190476,0.194444444444444,0.138888888888889,0.388888888888889,0.701970443349754
"Class: 3",0.545454545454545,1,1,0.833333333333333,1,0.545454545454545,0.705882352941176,0.305555555555556,0.166666666666667,0.166666666666667,0.772727272727273
"Class: 4",0.5,0.714285714285714,0.333333333333333,0.833333333333333,0.333333333333333,0.5,0.4,0.222222222222222,0.111111111111111,0.333333333333333,0.607142857142857
"Class: 11",0.75,0.928571428571429,0.75,0.928571428571428,0.75,0.75,0.75,0.222222222222222,0.166666666666667,0.222222222222222,0.839285714285714
"Class: 21",0.909090909090909,0.88,0.769230769230769,0.956521739130435,0.769230769230769,0.909090909090909,0.833333333333333,0.305555555555556,0.277777777777778,0.361111111111111,0.894545454545455
"Class: 31",0.545454545454545,0.96,0.857142857142857,0.827586206896552,0.857142857142857,0.545454545454545,0.666666666666667,0.305555555555556,0.166666666666667,0.194444444444444,0.752727272727273
"Class: 41",0.333333333333333,0.8,0.25,0.857142857142857,0.25,0.333333333333333,0.285714285714286,0.166666666666667,0.0555555555555556,0.222222222222222,0.566666666666667
"Class: 12",0.8,0.838709677419355,0.444444444444444,0.962962962962963,0.444444444444444,0.8,0.571428571428571,0.138888888888889,0.111111111111111,0.25,0.819354838709677
"Class: 22",0.6875,1,1,0.8,1,0.6875,0.814814814814815,0.444444444444444,0.305555555555556,0.305555555555556,0.84375
"Class: 32",0.363636363636364,0.96,0.8,0.774193548387097,0.8,0.363636363636364,0.5,0.305555555555556,0.111111111111111,0.138888888888889,0.661818181818182
"Class: 42",0.5,0.71875,0.181818181818182,0.92,0.181818181818182,0.5,0.266666666666667,0.111111111111111,0.0555555555555556,0.305555555555556,0.609375
"Class: 13",0.583333333333333,0.916666666666667,0.777777777777778,0.814814814814815,0.777777777777778,0.583333333333333,0.666666666666667,0.333333333333333,0.194444444444444,0.25,0.75
"Class: 23",0.7,0.884615384615385,0.7,0.884615384615385,0.7,0.7,0.7,0.277777777777778,0.194444444444444,0.277777777777778,0.792307692307692
"Class: 33",0.333333333333333,0.888888888888889,0.5,0.8,0.5,0.333333333333333,0.4,0.25,0.0833333333333333,0.166666666666667,0.611111111111111
