"","byClass.Sensitivity","byClass.Specificity","byClass.Pos.Pred.Value","byClass.Neg.Pred.Value","byClass.Precision","byClass.Recall","byClass.F1","byClass.Prevalence","byClass.Detection.Rate","byClass.Detection.Prevalence","byClass.Balanced.Accuracy"
"1",0,0,0,0,0,0,0,0,0,0,0
"Class: 1",0.5,0.9,0.5,0.9,0.5,0.5,0.5,0.166666666666667,0.0833333333333333,0.166666666666667,0.7
"Class: 2",0.8,0.857142857142857,0.8,0.857142857142857,0.8,0.8,0.8,0.416666666666667,0.333333333333333,0.416666666666667,0.828571428571429
"Class: 3",0.5,0.821428571428571,0.444444444444444,0.851851851851852,0.444444444444444,0.5,0.470588235294118,0.222222222222222,0.111111111111111,0.25,0.660714285714286
"Class: 4",0.285714285714286,0.862068965517241,0.333333333333333,0.833333333333333,0.333333333333333,0.285714285714286,0.307692307692308,0.194444444444444,0.0555555555555556,0.166666666666667,0.573891625615764
"Class: 11",0.625,0.928571428571429,0.714285714285714,0.896551724137931,0.714285714285714,0.625,0.666666666666667,0.222222222222222,0.138888888888889,0.194444444444444,0.776785714285714
"Class: 21",0.833333333333333,0.791666666666667,0.666666666666667,0.904761904761905,0.666666666666667,0.833333333333333,0.740740740740741,0.333333333333333,0.277777777777778,0.416666666666667,0.8125
"Class: 31",0.6,0.806451612903226,0.333333333333333,0.925925925925926,0.333333333333333,0.6,0.428571428571429,0.138888888888889,0.0833333333333333,0.25,0.703225806451613
"Class: 41",0.181818181818182,0.88,0.4,0.709677419354839,0.4,0.181818181818182,0.25,0.305555555555556,0.0555555555555556,0.138888888888889,0.530909090909091
"Class: 12",0.444444444444444,0.925925925925926,0.666666666666667,0.833333333333333,0.666666666666667,0.444444444444444,0.533333333333333,0.25,0.111111111111111,0.166666666666667,0.685185185185185
"Class: 22",0.9,0.769230769230769,0.6,0.952380952380952,0.6,0.9,0.72,0.277777777777778,0.25,0.416666666666667,0.834615384615385
"Class: 32",0.571428571428571,0.896551724137931,0.571428571428572,0.896551724137931,0.571428571428571,0.571428571428571,0.571428571428571,0.194444444444444,0.111111111111111,0.194444444444444,0.733990147783251
"Class: 42",0.4,0.846153846153846,0.5,0.785714285714286,0.5,0.4,0.444444444444444,0.277777777777778,0.111111111111111,0.222222222222222,0.623076923076923
"Class: 13",0.75,0.90625,0.5,0.966666666666667,0.5,0.75,0.6,0.111111111111111,0.0833333333333333,0.166666666666667,0.828125
"Class: 23",0.636363636363636,0.88,0.7,0.846153846153846,0.7,0.636363636363636,0.666666666666667,0.305555555555556,0.194444444444444,0.277777777777778,0.758181818181818
"Class: 33",0.75,0.75,0.461538461538462,0.91304347826087,0.461538461538462,0.75,0.571428571428571,0.222222222222222,0.166666666666667,0.361111111111111,0.75
